Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:19:05.688670,10:19:07.837445,-1,1.0
1,10:19:05.688670,10:19:08.108371,-1,1.0
1,10:19:05.688670,10:19:08.409826,-1,1.0
1,10:19:05.688670,10:19:08.724102,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:19:08.740139,10:19:10.839194,1,1.0
2,10:19:08.740139,10:19:11.078037,1,1.0
2,10:19:08.740139,10:19:11.182063,1,1.0
2,10:19:08.740139,10:19:11.366272,1,1.0
2,10:19:08.740139,10:19:11.591052,1,1.0
2,10:19:08.740139,10:19:11.758531,-1,1.0
2,10:19:08.740139,10:19:11.941113,-1,1.0
2,10:19:08.740139,10:19:12.094778,-1,1.0
2,10:19:08.740139,10:19:12.226834,-1,1.0
2,10:19:08.740139,10:19:12.383317,-1,1.0
2,10:19:08.740139,10:19:12.609851,-1,1.0
2,10:19:08.740139,10:19:12.804361,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:19:12.826091,10:19:13.604715,1,1.0
3,10:19:12.826091,10:19:13.790359,1,1.0
3,10:19:12.826091,10:19:13.945452,1,1.0
3,10:19:12.826091,10:19:14.098341,1,1.0
3,10:19:12.826091,10:19:14.250208,-1,1.0
3,10:19:12.826091,10:19:14.423400,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:19:14.444308,10:19:15.219549,-1,1.0
4,10:19:14.444308,10:19:15.471238,-1,1.0
4,10:19:14.444308,10:19:15.607139,-1,1.0
4,10:19:14.444308,10:19:15.782468,-1,1.0
4,10:19:14.444308,10:19:15.996786,-1,1.0
4,10:19:14.444308,10:19:16.170037,-1,1.0
4,10:19:14.444308,10:19:16.342494,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,10:19:17.388729,10:19:18.803336,-1,1.0
5,10:19:17.388729,10:19:19.107384,-1,1.0
5,10:19:17.388729,10:19:19.375220,1,1.0
5,10:19:17.388729,10:19:19.600173,1,1.0
5,10:19:17.388729,10:19:19.751465,1,1.0
5,10:19:17.388729,10:19:20.041389,1,1.0
5,10:19:17.388729,10:19:20.290436,1,1.0
5,10:19:17.388729,10:19:20.547346,1,1.0
5,10:19:17.388729,10:19:20.702440,1,1.0
5,10:19:17.388729,10:19:21.255720,1,1.0
5,10:19:17.388729,10:19:21.531625,1,1.0
5,10:19:17.388729,10:19:21.694346,1,1.0
5,10:19:17.388729,10:19:21.983749,1,1.0
5,10:19:17.388729,10:19:22.269753,1,1.0
5,10:19:17.388729,10:19:22.455112,-1,1.0
5,10:19:17.388729,10:19:22.725186,-1,1.0
5,10:19:17.388729,10:19:22.971194,-1,1.0
5,10:19:17.388729,10:19:23.091149,-1,1.0
5,10:19:17.388729,10:19:23.325448,-1,1.0
5,10:19:17.388729,10:19:23.446752,-1,1.0
5,10:19:17.388729,10:19:23.699670,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,10:19:23.731070,10:19:25.386149,1,1.0
6,10:19:23.731070,10:19:25.670402,1,1.0
6,10:19:23.731070,10:19:25.906777,1,1.0
6,10:19:23.731070,10:19:26.049179,1,1.0
6,10:19:23.731070,10:19:26.276110,1,1.0
6,10:19:23.731070,10:19:26.410979,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,10:19:26.445765,10:19:27.302662,1,1.0
7,10:19:26.445765,10:19:27.556413,-1,1.0
7,10:19:26.445765,10:19:27.754099,-1,1.0
7,10:19:26.445765,10:19:27.935289,-1,1.0
7,10:19:26.445765,10:19:27.992625,-1,1.0
7,10:19:26.445765,10:19:28.137485,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,10:19:28.170010,10:19:28.779120,-1,1.0
8,10:19:28.170010,10:19:29.026260,-1,1.0
8,10:19:28.170010,10:19:29.166037,-1,1.0
8,10:19:28.170010,10:19:29.407391,-1,1.0
8,10:19:28.170010,10:19:29.556491,-1,1.0
8,10:19:28.170010,10:19:30.190464,1,1.0
8,10:19:28.170010,10:19:30.456481,1,1.0
8,10:19:28.170010,10:19:30.640175,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,10:19:31.004015,10:19:31.860112,1,1.0
9,10:19:31.004015,10:19:32.198894,-1,1.0
9,10:19:31.004015,10:19:32.445067,-1,1.0
9,10:19:31.004015,10:19:32.575697,-1,1.0
9,10:19:31.004015,10:19:32.854775,-1,1.0
9,10:19:31.004015,10:19:33.011096,-1,1.0
9,10:19:31.004015,10:19:33.107017,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,10:19:33.126926,10:19:33.911553,1,1.0
10,10:19:33.126926,10:19:34.212885,1,1.0
10,10:19:33.126926,10:19:34.367385,1,1.0
10,10:19:33.126926,10:19:34.605232,-1,1.0
10,10:19:33.126926,10:19:34.772853,-1,1.0
10,10:19:33.126926,10:19:34.926680,-1,1.0
10,10:19:33.126926,10:19:35.207461,-1,1.0
10,10:19:33.126926,10:19:35.362315,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,10:19:35.382165,10:19:36.050059,1,1.0
11,10:19:35.382165,10:19:36.324301,1,1.0
11,10:19:35.382165,10:19:36.490466,1,1.0
11,10:19:35.382165,10:19:36.971484,-1,1.0
11,10:19:35.382165,10:19:37.244131,-1,1.0
11,10:19:35.382165,10:19:37.368308,-1,1.0
11,10:19:35.382165,10:19:37.637263,1,1.0
11,10:19:35.382165,10:19:37.793251,1,1.0
11,10:19:35.382165,10:19:38.072614,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,10:19:38.085530,10:19:38.797647,1,1.0
12,10:19:38.085530,10:19:38.983982,1,1.0
12,10:19:38.085530,10:19:39.149854,1,1.0
12,10:19:38.085530,10:19:39.341131,1,1.0
12,10:19:38.085530,10:19:39.477703,-1,1.0
12,10:19:38.085530,10:19:39.643069,-1,1.0
12,10:19:38.085530,10:19:39.787529,-1,1.0
12,10:19:38.085530,10:19:39.941885,-1,1.0
12,10:19:38.085530,10:19:40.179934,-1,1.0
12,10:19:38.085530,10:19:40.339453,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,10:19:40.355859,10:19:41.011231,-1,1.0
13,10:19:40.355859,10:19:41.155670,-1,1.0
13,10:19:40.355859,10:19:41.309494,-1,1.0
13,10:19:40.355859,10:19:41.475434,-1,1.0
13,10:19:40.355859,10:19:41.620364,-1,1.0
13,10:19:40.355859,10:19:41.787004,-1,1.0
13,10:19:40.355859,10:19:41.933272,-1,1.0
13,10:19:40.355859,10:19:42.100133,-1,1.0
13,10:19:40.355859,10:19:42.329274,-1,1.0
13,10:19:40.355859,10:19:42.484726,-1,1.0
13,10:19:40.355859,10:19:42.693263,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,10:19:42.705037,10:19:44.158387,1,1.0
14,10:19:42.705037,10:19:44.314404,1,1.0
14,10:19:42.705037,10:19:44.479913,1,1.0
14,10:19:42.705037,10:19:44.695837,-1,1.0
14,10:19:42.705037,10:19:44.842432,-1,1.0
14,10:19:42.705037,10:19:44.997413,-1,1.0
14,10:19:42.705037,10:19:45.142192,-1,1.0
14,10:19:42.705037,10:19:45.306539,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,10:19:45.320476,10:19:46.070797,1,1.0
15,10:19:45.320476,10:19:46.360814,1,1.0
15,10:19:45.320476,10:19:46.590923,-1,1.0
15,10:19:45.320476,10:19:46.757446,-1,1.0
15,10:19:45.320476,10:19:46.915923,-1,1.0
15,10:19:45.320476,10:19:47.144699,-1,1.0
15,10:19:45.320476,10:19:47.344521,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
16,10:19:47.358118,10:19:48.072917,-1,1.0
16,10:19:47.358118,10:19:48.367407,-1,1.0
16,10:19:47.358118,10:19:48.545273,-1,1.0
16,10:19:47.358118,10:19:48.793927,1,1.0
16,10:19:47.358118,10:19:48.949197,1,1.0
16,10:19:47.358118,10:19:49.114796,1,1.0
16,10:19:47.358118,10:19:49.343954,1,1.0
16,10:19:47.358118,10:19:49.592540,1,1.0
16,10:19:47.358118,10:19:49.780874,1,1.0
16,10:19:47.358118,10:19:49.939952,1,1.0
16,10:19:47.358118,10:19:50.178746,1,1.0
16,10:19:47.358118,10:19:50.380977,1,1.0
16,10:19:47.358118,10:19:50.546702,1,1.0
16,10:19:47.358118,10:19:50.702383,1,1.0
16,10:19:47.358118,10:19:50.919779,-1,1.0
16,10:19:47.358118,10:19:51.075394,-1,1.0
16,10:19:47.358118,10:19:51.222658,-1,1.0
16,10:19:47.358118,10:19:51.377661,-1,1.0
16,10:19:47.358118,10:19:51.534337,-1,1.0
16,10:19:47.358118,10:19:51.699415,-1,1.0
16,10:19:47.358118,10:19:51.854702,-1,1.0
16,10:19:47.358118,10:19:52.052474,-1,1.0
16,10:19:47.358118,10:19:52.207474,-1,1.0
16,10:19:47.358118,10:19:52.362431,-1,1.0
